TITLE: ,ARTIST: ,DATE: ,TIME:
O Little Town (The Glory Of Christmas),Matt Redman,11-10-2022,19:21
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,11-10-2022,19:43
Going Home For Christmas,Steven Curtis Chapman,11-10-2022,20:38
O Tannenbaum,Vince Guaraldi Trio,11-10-2022,20:50
Joseph's Lullaby,MercyMe,11-10-2022,20:56
Peace On Earth / Little Drummer Boy (feat. David Bowie & London Symphony Orchestra),Bing Crosby,11-10-2022,21:00
This Christmas,Ben Rector,11-10-2022,21:04
God Rest Ye Merry Gentlemen / We Three Kings,"Phillips, Craig & Dean",11-10-2022,21:08
Sleigh Ride,Leroy Anderson,11-10-2022,21:12
Breath Of Heaven (Mary's Song),Amy Grant,11-10-2022,21:16
Have Yourself A Merry Little Christmas,Lauren Daigle,11-10-2022,21:28
"Mary, Did You Know?",Danny Gokey,11-10-2022,21:32
Heavenly Hosts,for KING & COUNTRY,11-10-2022,21:40
It's the Most Wonderful Time of the Year,Andy Williams,11-10-2022,21:44
The Christmas Shoes,NewSong,11-10-2022,21:48
White Christmas,Kenny G,11-10-2022,21:52
Silver Bells,Steven Curtis Chapman,11-10-2022,21:56
Frosty The Snowman,Ella Fitzgerald,11-10-2022,22:00
Joy,Switch,11-10-2022,22:10
f¸r,Matt Brouwer,11-10-2022,22:41
–—“”‘’÷◊ÿŸ⁄€‹›ﬁﬂ‡·‚„‰ÂÊÁËÍÎ,Matt Brouwer,11-10-2022,22:44
Let It Snow,JosÈ Feliciano,11-10-2022,22:45
